Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
PI(16:0_16:0),C41 H79 O13 N0 P1,7.305,810.5258,PI,16:0_16:0,32:00:00,#NAME?,,,
PI(16:0_18:3) +NH4,C43 H77 O13 N0 P1,7.306,832.5102,PI,16:0_18:3,34:03:00,#REF!,,,
PC(20:0_8:0),C36 H72 O8 N1 P1,7.32,677.4996,PC,20:0_8:0,28:00:00,#NAME?,,,
PI(18:1_18:3) +NH4,C45 H79 O13 N0 P1,7.425,858.5258,PI,18:1_18:3,36:04:00,#REF!,,,
DG(12:0e_22:3),C37 H68 O4,7.427,576.5118,DG,12:0e_22:3,34:3e,#NAME?,,,
PI(28:1_6:0),C43 H81 O13 N0 P1,7.43,836.5415,PI,28:1_6:0,34:01:00,#NAME?,,,
PC(16:1_14:0),C38 H74 O8 N1 P1,7.436,703.5152,PC,16:1_14:0,30:01:00,#NAME?,,,
PC(18:3_18:2),C44 H78 O8 N1 P1,7.45,779.5465,PC,18:3_18:2,36:05:00,#NAME?,,,
PS(16:0_18:3),C40 H72 O10 N1 P1,7.466,757.4894,PS,16:0_18:3,34:03:00,#NAME?,,,
PS(16:0_16:0),C38 H74 O10 N1 P1,7.47,735.505,PS,16:0_16:0,32:00:00,#NAME?,,,
PC(22:2_11:1),C41 H76 O8 N1 P1,7.51,741.5309,PC,22:2_11:1,33:03:00,#NAME?,,,
TG(4:0_12:3_14:1) +NH4,C33 H54 O6,7.515,546.392,TG,4:0_12:3_14:1,30:04:00,#REF!,,,
TG(18:3_10:4_20:4) +NH4,C51 H76 O6,7.53,784.5642,TG,18:3_10:4_20:4,48:11:00,#REF!,,,
PG(18:2_18:2) +NH4,C42 H75 O10 N0 P1,7.549,770.5098,PG,18:2_18:2,36:04:00,#REF!,,,
PI(16:0_18:3) +NH4,C43 H77 O13 N0 P1,7.558,832.5102,PI,16:0_18:3,34:03:00,#REF!,,,
PC(12:0_22:5),C42 H74 O8 N1 P1,7.563,751.5152,PC,12:0_22:5,34:05:00,#NAME?,,,
PI(16:0_16:0),C41 H79 O13 N0 P1,7.564,810.5258,PI,16:0_16:0,32:00:00,#NAME?,,,
PS(18:1_18:3),C42 H74 O10 N1 P1,7.573,783.505,PS,18:1_18:3,36:04:00,#NAME?,,,
PC(16:1_16:1),C40 H76 O8 N1 P1,7.578,729.5309,PC,16:1_16:1,32:02:00,#NAME?,,,
PG(24:1_10:2) +NH4,C40 H73 O10 N0 P1,7.63,744.4941,PG,24:1_10:2,34:03:00,#REF!,,,
DG(8:0e_24:2),C35 H66 O4,7.632,550.4961,DG,8:0e_24:2,32:2e,#NAME?,,,
PC(16:1_17:0),C41 H80 O8 N1 P1,7.646,745.5622,PC,16:1_17:0,33:01:00,#NAME?,,,
PC(23:1_12:3),C43 H78 O8 N1 P1,7.646,767.5465,PC,23:1_12:3,35:04:00,#NAME?,,,
PC(18:3_14:1),C40 H72 O8 N1 P1,7.657,725.4996,PC,18:3_14:1,32:04:00,#NAME?,,,
PC(16:0_14:1),C38 H74 O8 N1 P1,7.666,703.5152,PC,16:0_14:1,30:01:00,#NAME?,,,
PI(18:1_18:3) +NH4,C45 H79 O13 N0 P1,7.677,858.5258,PI,18:1_18:3,36:04:00,#REF!,,,
PI(12:0_22:1),C43 H81 O13 N0 P1,7.678,836.5415,PI,12:0_22:1,34:01:00,#NAME?,,,
PC(16:1_16:1),C40 H76 O8 N1 P1,7.699,729.5309,PC,16:1_16:1,32:02:00,#NAME?,,,
DG(12:0e_22:3),C37 H68 O4,7.71,576.5118,DG,12:0e_22:3,34:3e,#NAME?,,,
PG(18:2_18:2) +NH4,C42 H75 O10 N0 P1,7.732,770.5098,PG,18:2_18:2,36:04:00,#REF!,,,
PC(19:0_10:4),C37 H66 O8 N1 P1,7.758,683.4526,PC,19:0_10:4,29:04:00,#NAME?,,,
TG(18:4_6:0_6:0) +NH4,C33 H54 O6,7.77,546.392,TG,18:4_6:0_6:0,30:04:00,#REF!,,,
TG(22:6_11:1_12:4) +NH4,C48 H70 O6,7.776,742.5172,TG,22:6_11:1_12:4,45:11:00,#REF!,,,
PC(21:0_14:4),C43 H78 O8 N1 P1,7.874,767.5465,PC,21:0_14:4,35:04:00,#NAME?,,,
PG(16:0_18:3) +NH4,C40 H73 O10 N0 P1,7.893,744.4941,PG,16:0_18:3,34:03:00,#REF!,,,
TG(22:5_10:3_11:2) +NH4,C46 H68 O6,7.906,716.5016,TG,22:5_10:3_11:2,43:10:00,#REF!,,,
PC(20:4e_12:4),C40 H66 O7 N1 P1,7.917,703.4577,PC,20:4e_12:4,32:8e,#NAME?,,,
PC(16:1_18:2),C42 H78 O8 N1 P1,7.924,755.5465,PC,16:1_18:2,34:03:00,#NAME?,,,
PI(16:0_16:1) +NH4,C41 H77 O13 N0 P1,7.982,808.5102,PI,16:0_16:1,32:01:00,#REF!,,,
PG(18:1_18:3) +NH4,C42 H75 O10 N0 P1,7.983,770.5098,PG,18:1_18:3,36:04:00,#REF!,,,
PI(20:2_14:2),C43 H75 O13 N0 P1,8.009,830.4945,PI,20:2_14:2,34:04:00,#NAME?,,,
PC(16:0_18:3),C42 H78 O8 N1 P1,8.032,755.5465,PC,16:0_18:3,34:03:00,#NAME?,,,
PC(18:3_18:3),C44 H76 O8 N1 P1,8.033,777.5309,PC,18:3_18:3,36:06:00,#NAME?,,,
PC(16:1_16:1),C40 H76 O8 N1 P1,8.09,729.5309,PC,16:1_16:1,32:02:00,#NAME?,,,
PI(16:1_18:1) +NH4,C43 H79 O13 N0 P1,8.126,834.5258,PI,16:1_18:1,34:02:00,#REF!,,,
PC(18:2e_18:3),C44 H80 O7 N1 P1,8.146,765.5672,PC,18:2e_18:3,36:5e,#NAME?,,,
TG(12:1e_9:0_16:0)+NH4,C40 H76 O5,8.148,636.5693,TG,12:1e_9:0_16:0,37:1e,#NAME?,,,
PC(16:0_18:3),C42 H78 O8 N1 P1,8.16,755.5465,PC,16:0_18:3,34:03:00,#NAME?,,,
PS(16:0_16:1),C38 H72 O10 N1 P1,8.165,733.4894,PS,16:0_16:1,32:01:00,#NAME?,,,
PC(18:3_20:4),C46 H78 O8 N1 P1,8.214,803.5465,PC,18:3_20:4,38:07:00,#NAME?,,,
PC(18:2_18:2),C44 H80 O8 N1 P1,8.219,781.5622,PC,18:2_18:2,36:04:00,#NAME?,,,
DG(16:1e_16:1),C35 H66 O4,8.274,550.4961,DG,16:1e_16:1,32:2e,#NAME?,,,
PI(16:0_16:1) +NH4,C41 H77 O13 N0 P1,8.276,808.5102,PI,16:0_16:1,32:01:00,#REF!,,,
PS(16:1_18:1),C40 H74 O10 N1 P1,8.279,759.505,PS,16:1_18:1,34:02:00,#NAME?,,,
PC(16:0_18:3),C42 H78 O8 N1 P1,8.335,755.5465,PC,16:0_18:3,34:03:00,#NAME?,,,
PG(16:0_16:1) +NH4,C38 H73 O10 N0 P1,8.341,720.4941,PG,16:0_16:1,32:01:00,#REF!,,,
PC(22:3_14:3),C44 H76 O8 N1 P1,8.343,777.5309,PC,22:3_14:3,36:06:00,#NAME?,,,
PI(16:0_18:2) +NH4,C43 H79 O13 N0 P1,8.345,834.5258,PI,16:0_18:2,34:02:00,#REF!,,,
PC(9:0_24:2),C41 H78 O8 N1 P1,8.393,743.5465,PC,9:0_24:2,33:02:00,#NAME?,,,
PG(16:1_18:1) +NH4,C40 H75 O10 N0 P1,8.46,746.5098,PG,16:1_18:1,34:02:00,#REF!,,,
TG(19:0_11:2_11:4),C44 H72 O6,8.464,696.5329,TG,19:0_11:2_11:4,41:06:00,#NAME?,,,
PS(20:0_12:1),C38 H72 O10 N1 P1,8.467,733.4894,PS,20:0_12:1,32:01:00,#NAME?,,,
PC(18:2_18:2),C44 H80 O8 N1 P1,8.47,781.5622,PC,18:2_18:2,36:04:00,#NAME?,,,
TG(4:0_12:0_18:1) +NH4,C37 H68 O6,8.472,608.5016,TG,4:0_12:0_18:1,34:01:00,#REF!,,,
PI(18:1_18:2) +NH4,C45 H81 O13 N0 P1,8.48,860.5415,PI,18:1_18:2,36:03:00,#REF!,,,
TG(18:1e_8:0_11:0)+NH4,C40 H76 O5,8.5,636.5693,TG,18:1e_8:0_11:0,37:1e,#NAME?,,,
PS(16:1_18:1),C40 H74 O10 N1 P1,8.552,759.505,PS,16:1_18:1,34:02:00,#NAME?,,,
TG(18:4_13:0_22:6),C56 H88 O6,8.637,856.6581,TG,18:4_13:0_22:6,53:10:00,#NAME?,,,
PG(16:0_16:1) +NH4,C38 H73 O10 N0 P1,8.638,720.4941,PG,16:0_16:1,32:01:00,#REF!,,,
PS(18:1_18:2),C42 H76 O10 N1 P1,8.664,785.5207,PS,18:1_18:2,36:03:00,#NAME?,,,
PC(17:1_16:1),C41 H78 O8 N1 P1,8.668,743.5465,PC,17:1_16:1,33:02:00,#NAME?,,,
DG(12:1e_20:0),C35 H68 O4,8.715,552.5118,DG,12:1e_20:0,32:1e,#NAME?,,,
PG(24:0_10:2) +NH4,C40 H75 O10 N0 P1,8.72,746.5098,PG,24:0_10:2,34:02:00,#REF!,,,
DG(18:3_18:3) +NH4,C39 H64 O5,8.754,612.4754,DG,18:3_18:3,36:06:00,0,,,
PC(19:1_12:2),C39 H72 O8 N1 P1,8.756,713.4996,PC,19:1_12:2,31:03:00,#NAME?,,,
PC(20:1_12:1),C40 H76 O8 N1 P1,8.767,729.5309,PC,20:1_12:1,32:02:00,#NAME?,,,
PI(18:1_18:2) +NH4,C45 H81 O13 N0 P1,8.773,860.5415,PI,18:1_18:2,36:03:00,#REF!,,,
PC(23:0_12:3),C43 H80 O8 N1 P1,8.82,769.5622,PC,23:0_12:3,35:03:00,#NAME?,,,
PG(18:1_18:2) +NH4,C42 H77 O10 N0 P1,8.837,772.5254,PG,18:1_18:2,36:03:00,#REF!,,,
DG(12:0e_22:3),C37 H68 O4,8.856,576.5118,DG,12:0e_22:3,34:3e,#NAME?,,,
PC(16:4_17:0),C41 H74 O8 N1 P1,8.879,739.5152,PC,16:4_17:0,33:04:00,#NAME?,,,
PC(16:4_22:3),C46 H78 O8 N1 P1,8.948,803.5465,PC,16:4_22:3,38:07:00,#NAME?,,,
PC(18:1_18:3),C44 H80 O8 N1 P1,8.97,781.5622,PC,18:1_18:3,36:04:00,#NAME?,,,
PC(16:0_14:0),C38 H76 O8 N1 P1,9.005,705.5309,PC,16:0_14:0,30:00:00,#NAME?,,,
TG(18:4_11:4_24:2),C56 H88 O6,9.019,856.6581,TG,18:4_11:4_24:2,53:10:00,#NAME?,,,
DG(18:3_18:3) +NH4,C39 H64 O5,9.024,612.4754,DG,18:3_18:3,36:06:00,0,,,
PG(16:0_18:2) +NH4,C40 H75 O10 N0 P1,9.029,746.5098,PG,16:0_18:2,34:02:00,#REF!,,,
PI(18:0_18:3) +NH4,C45 H81 O13 N0 P1,9.073,860.5415,PI,18:0_18:3,36:03:00,#REF!,,,
PI(18:0_16:0),C43 H83 O13 N0 P1,9.08,838.5571,PI,18:0_16:0,34:00:00,#NAME?,,,
DG(12:1e_22:1),C37 H70 O4,9.096,578.5274,DG,12:1e_22:1,34:2e,#NAME?,,,
PS(16:2_21:1),C43 H78 O10 N1 P1,9.127,799.5363,PS,16:2_21:1,37:03:00,#NAME?,,,
PA(16:0_16:1) +NH4,C35 H67 O8 N0 P1,9.128,646.4574,PA,16:0_16:1,32:01:00,0,,,
PC(23:0_11:4),C42 H76 O8 N1 P1,9.134,753.5309,PC,23:0_11:4,34:04:00,#NAME?,,,
PG(18:1_18:2) +NH4,C42 H77 O10 N0 P1,9.136,772.5254,PG,18:1_18:2,36:03:00,#REF!,,,
PC(25:1_8:0),C41 H80 O8 N1 P1,9.154,745.5622,PC,25:1_8:0,33:01:00,#NAME?,,,
PC(16:0_14:0),C38 H76 O8 N1 P1,9.158,705.5309,PC,16:0_14:0,30:00:00,#NAME?,,,
PC(16:0_16:1),C40 H78 O8 N1 P1,9.161,731.5465,PC,16:0_16:1,32:01:00,#NAME?,,,
PS(28:0_6:0),C40 H78 O10 N1 P1,9.271,763.5363,PS,28:0_6:0,34:00:00,#NAME?,,,
PS(18:0_18:3),C42 H76 O10 N1 P1,9.276,785.5207,PS,18:0_18:3,36:03:00,#NAME?,,,
PC(12:0_21:0),C41 H82 O8 N1 P1,9.311,747.5778,PC,12:0_21:0,33:00:00,#NAME?,,,
PG(22:5_12:3) +NH4,C40 H63 O10 N0 P1,9.324,734.4159,PG,22:5_12:3,34:08:00,#REF!,,,
PC(16:1_18:1),C42 H80 O8 N1 P1,9.353,757.5622,PC,16:1_18:1,34:02:00,#NAME?,,,
PA(16:0_16:1) +NH4,C35 H67 O8 N0 P1,9.391,646.4574,PA,16:0_16:1,32:01:00,0,,,
PS(16:2_21:1),C43 H78 O10 N1 P1,9.412,799.5363,PS,16:2_21:1,37:03:00,#NAME?,,,
PC(26:1_10:4),C44 H78 O8 N1 P1,9.425,779.5465,PC,26:1_10:4,36:05:00,#NAME?,,,
PC(16:1_18:1),C42 H80 O8 N1 P1,9.455,757.5622,PC,16:1_18:1,34:02:00,#NAME?,,,
PG(17:1_16:0) +NH4,C39 H75 O10 N0 P1,9.463,734.5098,PG,17:1_16:0,33:01:00,#REF!,,,
PC(12:0_22:4),C42 H76 O8 N1 P1,9.47,753.5309,PC,12:0_22:4,34:04:00,#NAME?,,,
PC(16:0_16:1),C40 H78 O8 N1 P1,9.471,731.5465,PC,16:0_16:1,32:01:00,#NAME?,,,
PC(25:1_8:0),C41 H80 O8 N1 P1,9.543,745.5622,PC,25:1_8:0,33:01:00,#NAME?,,,
PC(9:0_22:4),C39 H70 O8 N1 P1,9.568,711.4839,PC,9:0_22:4,31:04:00,#NAME?,,,
PC(26:1_8:0),C42 H82 O8 N1 P1,9.581,759.5778,PC,26:1_8:0,34:01:00,#NAME?,,,
PC(18:2e_16:1),C42 H80 O7 N1 P1,9.587,741.5672,PC,18:2e_16:1,34:3e,#NAME?,,,
PC(17:1_18:1),C43 H82 O8 N1 P1,9.593,771.5778,PC,17:1_18:1,35:02:00,#NAME?,,,
PI(16:0_16:0) +NH4,C41 H79 O13 N0 P1,9.593,810.5258,PI,16:0_16:0,32:00:00,#REF!,,,
PA(16:1_18:1) +NH4,C37 H69 O8 N0 P1,9.619,672.473,PA,16:1_18:1,34:02:00,0,,,
PC(18:1_18:2),C44 H82 O8 N1 P1,9.662,783.5778,PC,18:1_18:2,36:03:00,#NAME?,,,
DG(16:1_18:3) +NH4,C37 H64 O5,9.676,588.4754,DG,16:1_18:3,34:04:00,0,,,
PI(16:0_18:1) +NH4,C43 H81 O13 N0 P1,9.798,836.5415,PI,16:0_18:1,34:01:00,#REF!,,,
PC(20:4e_14:4),C42 H70 O7 N1 P1,9.876,731.489,PC,20:4e_14:4,34:8e,#NAME?,,,
PI(20:0_14:1),C43 H81 O13 N0 P1,9.901,836.5415,PI,20:0_14:1,34:01:00,#NAME?,,,
PI(18:1_18:1) +NH4,C45 H83 O13 N0 P1,9.919,862.5571,PI,18:1_18:1,36:02:00,#REF!,,,
PI(18:1_18:3),C45 H79 O13 N0 P1,9.92,858.5258,PI,18:1_18:3,36:04:00,#NAME?,,,
PC(22:4_14:1),C44 H78 O8 N1 P1,9.943,779.5465,PC,22:4_14:1,36:05:00,#NAME?,,,
TG(4:0_14:1_14:1) +NH4,C35 H62 O6,9.946,578.4546,TG,4:0_14:1_14:1,32:02:00,#REF!,,,
PC(16:0_18:2),C42 H80 O8 N1 P1,9.953,757.5622,PC,16:0_18:2,34:02:00,#NAME?,,,
PC(18:1_18:2),C44 H82 O8 N1 P1,9.959,783.5778,PC,18:1_18:2,36:03:00,#NAME?,,,
PG(16:0_16:0) +NH4,C38 H75 O10 N0 P1,10.007,722.5098,PG,16:0_16:0,32:00:00,0,,,
PC(20:4e_14:4),C42 H70 O7 N1 P1,10.01,731.489,PC,20:4e_14:4,34:8e,#NAME?,,,
PS(16:0_18:1),C40 H76 O10 N1 P1,10.049,761.5207,PS,16:0_18:1,34:01:00,#NAME?,,,
DG(18:3_18:2) +NH4,C39 H66 O5,10.084,614.491,DG,18:3_18:2,36:05:00,0,,,
PC(9:0_22:2),C39 H74 O8 N1 P1,10.085,715.5152,PC,9:0_22:2,31:02:00,#NAME?,,,
PI(23:0_11:1),C43 H81 O13 N0 P1,10.099,836.5415,PI,23:0_11:1,34:01:00,#NAME?,,,
PS(18:1_18:1),C42 H78 O10 N1 P1,10.162,787.5363,PS,18:1_18:1,36:02:00,#NAME?,,,
PG(16:0_18:1) +NH4,C40 H77 O10 N0 P1,10.186,748.5254,PG,16:0_18:1,34:01:00,0,,,
PC(17:1_16:0),C41 H80 O8 N1 P1,10.246,745.5622,PC,17:1_16:0,33:01:00,#NAME?,,,
TG(14:0e_12:1_15:0),C44 H84 O5,10.291,692.6319,TG,14:0e_12:1_15:0,41:1e,#NAME?,,,
PC(17:1_18:1),C43 H82 O8 N1 P1,10.309,771.5778,PC,17:1_18:1,35:02:00,#NAME?,,,
PG(18:1_18:1) +NH4,C42 H79 O10 N0 P1,10.314,774.5411,PG,18:1_18:1,36:02:00,0,,,
PI(18:0_18:2) +NH4,C45 H83 O13 N0 P1,10.314,862.5571,PI,18:0_18:2,36:02:00,#REF!,,,
PC(18:0_16:0),C42 H84 O8 N1 P1,10.41,761.5935,PC,18:0_16:0,34:00:00,#NAME?,,,
DG(18:3_18:2) +NH4,C39 H66 O5,10.413,614.491,DG,18:3_18:2,36:05:00,0,,,
PC(18:0_18:3),C44 H82 O8 N1 P1,10.419,783.5778,PC,18:0_18:3,36:03:00,#NAME?,,,
PG(24:1_11:2) +NH4,C41 H75 O10 N0 P1,10.5,758.5098,PG,24:1_11:2,35:03:00,0,,,
PS(18:1_18:1),C42 H78 O10 N1 P1,10.517,787.5363,PS,18:1_18:1,36:02:00,#NAME?,,,
PS(17:0_18:1),C41 H78 O10 N1 P1,10.522,775.5363,PS,17:0_18:1,35:01:00,#NAME?,,,
PG(16:0_18:1) +NH4,C40 H77 O10 N0 P1,10.523,748.5254,PG,16:0_18:1,34:01:00,0,,,
PC(19:0_14:3),C41 H76 O8 N1 P1,10.525,741.5309,PC,19:0_14:3,33:03:00,#NAME?,,,
DG(16:1_14:0),C33 H62 O5,10.553,538.4597,DG,16:1_14:0,30:01:00,#NAME?,,,
PC(20:0e_12:1),C40 H80 O7 N1 P1,10.575,717.5672,PC,20:0e_12:1,32:1e,#NAME?,,,
PC(17:1_18:1),C43 H82 O8 N1 P1,10.646,771.5778,PC,17:1_18:1,35:02:00,#NAME?,,,
PG(18:1_18:1) +NH4,C42 H79 O10 N0 P1,10.696,774.5411,PG,18:1_18:1,36:02:00,0,,,
DG(16:1_16:1),C35 H64 O5,10.698,564.4754,DG,16:1_16:1,32:02:00,#NAME?,,,
TG(20:0e_11:3_12:1),C46 H82 O5,10.807,714.6162,TG,20:0e_11:3_12:1,43:4e,#NAME?,,,
PC(22:6_13:0),C43 H74 O8 N1 P1,10.885,763.5152,PC,22:6_13:0,35:06:00,#NAME?,,,
TG(14:0e_9:0_18:1),C44 H84 O5,10.897,692.6319,TG,14:0e_9:0_18:1,41:1e,#NAME?,,,
DG(16:1_16:1),C35 H64 O5,10.904,564.4754,DG,16:1_16:1,32:02:00,#NAME?,,,
TG(12:0e_9:0_18:0)+NH4,C42 H82 O5,10.906,666.6162,TG,12:0e_9:0_18:0,39:0e,#NAME?,,,
TG(14:0e_9:0_20:1) +NH4,C46 H88 O5,10.918,720.6632,TG,14:0e_9:0_20:1,43:1e,#REF!,,,
TG(6:0_12:1_18:3) +NH4,C39 H66 O6,10.933,630.4859,TG,6:0_12:1_18:3,36:04:00,#REF!,,,
PS(18:1_18:1),C42 H78 O10 N1 P1,10.985,787.5363,PS,18:1_18:1,36:02:00,#NAME?,,,
PC(25:0_12:3),C45 H84 O8 N1 P1,11.048,797.5935,PC,25:0_12:3,37:03:00,#NAME?,,,
PC(22:1_12:2),C42 H78 O8 N1 P1,11.051,755.5465,PC,22:1_12:2,34:03:00,#NAME?,,,
PC(16:0_16:0),C40 H80 O8 N1 P1,11.059,733.5622,PC,16:0_16:0,32:00:00,#NAME?,,,
PC(25:0_8:0),C41 H82 O8 N1 P1,11.084,747.5778,PC,25:0_8:0,33:00:00,#NAME?,,,
PS(17:0_18:1),C41 H78 O10 N1 P1,11.095,775.5363,PS,17:0_18:1,35:01:00,#NAME?,,,
DG(16:1_18:2) +NH4,C37 H66 O5,11.121,590.491,DG,16:1_18:2,34:03:00,0,,,
PA(16:0_18:1) +NH4,C37 H71 O8 N0 P1,11.161,674.4887,PA,16:0_18:1,34:01:00,0,,,
PC(24:1_12:3),C44 H80 O8 N1 P1,11.194,781.5622,PC,24:1_12:3,36:04:00,#NAME?,,,
PC(16:0_18:1),C42 H82 O8 N1 P1,11.223,759.5778,PC,16:0_18:1,34:01:00,#NAME?,,,
PC(20:0_14:0),C42 H84 O8 N1 P1,11.351,761.5935,PC,20:0_14:0,34:00:00,#NAME?,,,
PC(18:1_18:1),C44 H84 O8 N1 P1,11.379,785.5935,PC,18:1_18:1,36:02:00,#NAME?,,,
PC(24:1_14:4),C46 H82 O8 N1 P1,11.47,807.5778,PC,24:1_14:4,38:05:00,#NAME?,,,
PC(18:1_18:1),C44 H84 O8 N1 P1,11.49,785.5935,PC,18:1_18:1,36:02:00,#NAME?,,,
PA(16:0_18:1) +NH4,C37 H71 O8 N0 P1,11.579,674.4887,PA,16:0_18:1,34:01:00,0,,,
DG(18:2_18:2) +NH4,C39 H68 O5,11.597,616.5067,DG,18:2_18:2,36:04:00,0,,,
PC(26:1_8:0),C42 H82 O8 N1 P1,11.685,759.5778,PC,26:1_8:0,34:01:00,#NAME?,,,
TG(4:0_18:3_18:3) +NH4,C43 H70 O6,11.691,682.5172,TG,4:0_18:3_18:3,40:06:00,#REF!,,,
TG(4:0_14:0_14:1) +NH4,C35 H64 O6,11.697,580.4703,TG,4:0_14:0_14:1,32:01:00,#REF!,,,
PC(12:1e_22:6),C42 H72 O7 N1 P1,11.734,733.5046,PC,12:1e_22:6,34:7e,#NAME?,,,
TG(12:0_12:3_12:3) +NH4,C39 H62 O6,11.738,626.4546,TG,12:0_12:3_12:3,36:06:00,#REF!,,,
PC(9:0_24:0),C41 H82 O8 N1 P1,11.745,747.5778,PC,9:0_24:0,33:00:00,#NAME?,,,
PC(24:2_14:1),C46 H86 O8 N1 P1,11.801,811.6091,PC,24:2_14:1,38:03:00,#NAME?,,,
DG(16:0_18:3) +NH4,C37 H66 O5,11.802,590.491,DG,16:0_18:3,34:03:00,0,,,
TG(4:0_14:1_16:1) +NH4,C37 H66 O6,11.807,606.4859,TG,4:0_14:1_16:1,34:02:00,#REF!,,,
DG(18:1_18:3) +NH4,C39 H68 O5,11.87,616.5067,DG,18:1_18:3,36:04:00,0,,,
PC(24:0_11:1),C43 H84 O8 N1 P1,11.928,773.5935,PC,24:0_11:1,35:01:00,#NAME?,,,
PC(21:1_14:4),C43 H76 O8 N1 P1,11.943,765.5309,PC,21:1_14:4,35:05:00,#NAME?,,,
PC(18:1e_18:2),C44 H84 O7 N1 P1,11.946,769.5985,PC,18:1e_18:2,36:3e,#NAME?,,,
PC(24:2_14:1),C46 H86 O8 N1 P1,11.946,811.6091,PC,24:2_14:1,38:03:00,#NAME?,,,
DG(12:0e_22:3),C37 H68 O4,11.951,576.5118,DG,12:0e_22:3,34:3e,#NAME?,,,
TG(4:0_14:0_14:1) +NH4,C35 H64 O6,11.963,580.4703,TG,4:0_14:0_14:1,32:01:00,#REF!,,,
TG(18:3_11:4_14:3) +NH4,C46 H68 O6,11.993,716.5016,TG,18:3_11:4_14:3,43:10:00,#REF!,,,
PI(18:0_18:1) +NH4,C45 H85 O13 N0 P1,12.004,864.5728,PI,18:0_18:1,36:01:00,0,,,
TG(4:0_14:1_16:1) +NH4,C37 H66 O6,12.082,606.4859,TG,4:0_14:1_16:1,34:02:00,#REF!,,,
PC(18:1_18:1),C44 H84 O8 N1 P1,12.087,785.5935,PC,18:1_18:1,36:02:00,#NAME?,,,
TG(16:1_6:0_14:1) +NH4,C39 H70 O6,12.175,634.5172,TG,16:1_6:0_14:1,36:02:00,#REF!,,,
DG(16:0_18:3) +NH4,C37 H66 O5,12.2,590.491,DG,16:0_18:3,34:03:00,0,,,
DG(18:1_18:3) +NH4,C39 H68 O5,12.26,616.5067,DG,18:1_18:3,36:04:00,0,,,
